burnout_level,profile_type,high_burnout,age_norm,experience_years_norm,daily_work_hours_norm,sleep_hours_norm,caffeine_intake_norm,bugs_per_day_norm,commits_per_day_norm,meetings_per_day_norm,screen_time_norm,exercise_hours_norm,stress_level_norm,sleep_quality_norm,workload_index_norm,age_scaled_norm,experience_years_scaled_norm,daily_work_hours_scaled_norm,sleep_hours_scaled_norm,caffeine_intake_scaled_norm,bugs_per_day_scaled_norm,commits_per_day_scaled_norm,meetings_per_day_scaled_norm,screen_time_scaled_norm,exercise_hours_scaled_norm,stress_level_scaled_norm
High,Riesgo,1,0.83333,0.26316,0.516,0.112,1.0,0.78947,0.62069,0.0,0.39459,0.175,0.7703,0.16397,0.48467,0.83333,0.26316,0.516,0.112,1.0,0.78947,0.62069,0.0,0.39459,0.175,0.7703
Low,Riesgo,0,0.04167,0.0,0.095,0.08,0.57143,0.15789,0.37931,0.0,0.27728,0.34,0.148,0.19971,0.24762,0.04167,0.0,0.095,0.08,0.57143,0.15789,0.37931,0.0,0.27728,0.34,0.148
Low,Riesgo,0,0.125,0.26316,0.322,0.848,0.28571,0.31579,0.48276,0.33333,0.39869,0.285,0.3024,0.45059,0.4225,0.125,0.26316,0.322,0.848,0.28571,0.31579,0.48276,0.33333,0.39869,0.285,0.3024
Medium,Riesgo,0,1.0,0.89474,0.499,0.08,0.28571,0.78947,0.0,0.66667,0.12223,0.355,0.554,0.28896,0.22732,1.0,0.89474,0.499,0.08,0.28571,0.78947,0.0,0.66667,0.12223,0.355,0.554
Low,Riesgo,0,0.58333,0.42105,0.111,0.984,0.14286,0.15789,0.2069,0.66667,0.09598,0.715,0.074,0.8248,0.27215,0.58333,0.42105,0.111,0.984,0.14286,0.15789,0.2069,0.66667,0.09598,0.715,0.074
High,Riesgo,1,0.125,0.73684,0.812,0.358,0.28571,0.31579,0.86207,0.77778,0.85398,0.405,0.7565,0.11305,0.84331,0.125,0.73684,0.812,0.358,0.28571,0.31579,0.86207,0.77778,0.85398,0.405,0.7565
High,Riesgo,1,0.5,0.36842,0.829,0.328,0.71429,0.05263,0.2069,0.88889,0.87367,0.76,0.7014,0.10097,0.46627,0.5,0.36842,0.829,0.328,0.71429,0.05263,0.2069,0.88889,0.87367,0.76,0.7014
High,Riesgo,1,0.45833,0.94737,0.802,0.092,0.57143,0.36842,0.41379,0.33333,0.74569,0.64,0.7248,0.06199,0.48171,0.45833,0.94737,0.802,0.092,0.57143,0.36842,0.41379,0.33333,0.74569,0.64,0.7248
Medium,Riesgo,0,0.5,0.78947,0.727,0.586,0.14286,0.47368,0.27586,0.11111,0.65381,0.36,0.4694,0.23422,0.33897,0.5,0.78947,0.727,0.586,0.14286,0.47368,0.27586,0.11111,0.65381,0.36,0.4694
Medium,Riesgo,0,0.54167,0.26316,0.793,0.586,0.14286,0.05263,0.13793,1.0,0.66038,0.43,0.4876,0.23192,0.43751,0.54167,0.26316,0.793,0.586,0.14286,0.05263,0.13793,1.0,0.66038,0.43,0.4876
Medium,Riesgo,0,0.79167,0.26316,0.671,0.494,0.42857,0.26316,0.10345,1.0,0.72765,0.705,0.6376,0.18285,0.39057,0.79167,0.26316,0.671,0.494,0.42857,0.26316,0.10345,1.0,0.72765,0.705,0.6376
Low,Riesgo,0,0.70833,0.10526,0.67,0.312,0.0,0.15789,0.13793,0.22222,0.68909,0.535,0.18,0.13975,0.26348,0.70833,0.10526,0.67,0.312,0.0,0.15789,0.13793,0.22222,0.68909,0.535,0.18
Medium,Riesgo,0,0.20833,0.47368,0.667,0.368,0.57143,0.0,0.7931,0.88889,0.54471,0.87,0.53795,0.20237,0.7915,0.20833,0.47368,0.667,0.368,0.57143,0.0,0.7931,0.88889,0.54471,0.87,0.53795
Medium,Riesgo,0,0.41667,0.0,0.514,0.32,0.57143,0.26316,0.7931,0.77778,0.61198,0.935,0.6044,0.16426,0.738,0.41667,0.0,0.514,0.32,0.57143,0.26316,0.7931,0.77778,0.61198,0.935,0.6044
Low,Riesgo,0,0.04167,0.68421,0.363,0.426,0.0,0.57895,0.93103,0.55556,0.51682,0.72,0.2894,0.23285,0.74836,0.04167,0.68421,0.363,0.426,0.0,0.57895,0.93103,0.55556,0.51682,0.72,0.2894
Medium,Riesgo,0,0.91667,0.15789,0.73,0.342,0.71429,0.68421,0.65517,0.22222,0.54799,0.99,0.6299,0.19239,0.59336,0.91667,0.15789,0.73,0.342,0.71429,0.68421,0.65517,0.22222,0.54799,0.99,0.6299
High,Riesgo,1,0.75,0.57895,0.299,0.676,0.57143,0.73684,0.37931,1.0,0.42822,0.595,0.7667,0.36603,0.48107,0.75,0.57895,0.299,0.676,0.57143,0.73684,0.37931,1.0,0.42822,0.595,0.7667
High,Riesgo,1,0.75,0.26316,0.543,0.296,0.28571,0.89474,0.24138,0.55556,0.65463,0.04,1.0,0.14426,0.3635,0.75,0.26316,0.543,0.296,0.28571,0.89474,0.24138,0.55556,0.65463,0.04,1.0
Medium,Riesgo,0,0.16667,0.52632,0.433,0.35,0.28571,0.84211,0.41379,0.11111,0.61034,0.505,0.5163,0.17439,0.36139,0.16667,0.52632,0.433,0.35,0.28571,0.84211,0.41379,0.11111,0.61034,0.505,0.5163
Medium,Riesgo,0,0.75,0.57895,0.277,0.436,0.57143,0.42105,0.10345,0.33333,0.23462,0.23,0.4045,0.38886,0.18038,0.75,0.57895,0.277,0.436,0.57143,0.42105,0.10345,0.33333,0.23462,0.23,0.4045
High,Riesgo,1,0.04167,0.47368,0.975,0.004,0.85714,0.73684,0.65517,0.33333,0.8507,0.335,0.9761,0.01949,0.66631,0.04167,0.47368,0.975,0.004,0.85714,0.73684,0.65517,0.33333,0.8507,0.335,0.9761
High,Riesgo,1,0.375,0.89474,0.259,0.492,0.85714,0.89474,0.34483,0.88889,0.45857,0.49,0.7372,0.28155,0.43032,0.375,0.89474,0.259,0.492,0.85714,0.89474,0.34483,0.88889,0.45857,0.49,0.7372
High,Riesgo,1,1.0,0.31579,0.309,0.492,1.0,0.89474,0.48276,0.77778,0.21411,0.295,0.9274,0.43139,0.50433,1.0,0.31579,0.309,0.492,1.0,0.89474,0.48276,0.77778,0.21411,0.295,0.9274
Medium,Riesgo,0,0.04167,0.31579,0.499,0.056,0.42857,0.21053,0.7931,0.66667,0.2338,0.31,0.3991,0.20989,0.71368,0.04167,0.31579,0.499,0.056,0.42857,0.21053,0.7931,0.66667,0.2338,0.31,0.3991
Medium,Riesgo,0,0.41667,0.52632,0.823,0.912,0.57143,0.78947,0.44828,0.33333,0.77112,0.4,0.562,0.2885,0.5073,0.41667,0.52632,0.823,0.912,0.57143,0.78947,0.44828,0.33333,0.77112,0.4,0.562
Medium,Riesgo,0,0.70833,0.15789,0.587,0.322,0.14286,0.42105,0.58621,0.66667,0.61034,0.285,0.6263,0.1654,0.60541,0.70833,0.15789,0.587,0.322,0.14286,0.42105,0.58621,0.66667,0.61034,0.285,0.6263
Low,Riesgo,0,0.5,1.0,0.613,0.426,0.71429,0.10526,0.65517,0.0,0.54061,0.17,0.3458,0.22363,0.52633,0.5,1.0,0.613,0.426,0.71429,0.10526,0.65517,0.0,0.54061,0.17,0.3458
Medium,Riesgo,0,0.58333,0.0,0.821,0.828,1.0,0.57895,0.0,0.77778,0.90648,0.765,0.6664,0.22247,0.31656,0.58333,0.0,0.821,0.828,1.0,0.57895,0.0,0.77778,0.90648,0.765,0.6664
Medium,Riesgo,0,0.33333,0.63158,0.343,0.166,1.0,0.68421,0.0,0.77778,0.29943,0.395,0.6368,0.22712,0.21548,0.33333,0.63158,0.343,0.166,1.0,0.68421,0.0,0.77778,0.29943,0.395,0.6368
Low,Riesgo,0,0.91667,0.89474,0.194,0.85,0.14286,0.0,0.34483,0.88889,0.30189,0.83,0.133,0.5237,0.41658,0.91667,0.89474,0.194,0.85,0.14286,0.0,0.34483,0.88889,0.30189,0.83,0.133
Medium,Riesgo,0,0.75,0.42105,0.198,0.242,0.0,0.42105,0.96552,0.88889,0.25431,0.885,0.4648,0.28542,0.79805,0.75,0.42105,0.198,0.242,0.0,0.42105,0.96552,0.88889,0.25431,0.885,0.4648
Medium,Riesgo,0,0.33333,0.42105,0.733,0.492,0.71429,0.42105,0.96552,0.0,0.61854,0.75,0.5306,0.21707,0.74202,0.33333,0.42105,0.733,0.492,0.71429,0.42105,0.96552,0.0,0.61854,0.75,0.5306
High,Riesgo,1,0.08333,0.42105,0.614,0.686,0.71429,1.0,0.96552,1.0,0.49549,0.395,1.0,0.33395,0.90717,0.08333,0.42105,0.614,0.686,0.71429,1.0,0.96552,1.0,0.49549,0.395,1.0
Low,Riesgo,0,0.83333,0.47368,0.206,0.906,0.28571,0.63158,0.7931,0.66667,0.41263,0.72,0.2741,0.46375,0.65172,0.83333,0.47368,0.206,0.906,0.28571,0.63158,0.7931,0.66667,0.41263,0.72,0.2741
Low,Riesgo,0,0.33333,0.05263,0.145,0.608,0.71429,0.36842,0.65517,0.0,0.23298,0.155,0.1784,0.47142,0.42736,0.33333,0.05263,0.145,0.608,0.71429,0.36842,0.65517,0.0,0.23298,0.155,0.1784
,Riesgo,0,0.54167,0.26316,0.121,0.454,0.42857,0.52632,1.0,0.55556,0.22724,0.66,0.4172,0.40289,0.73948,0.54167,0.26316,0.121,0.454,0.42857,0.52632,1.0,0.55556,0.22724,0.66,0.4172
High,Riesgo,1,0.75,0.73684,0.628,0.572,0.57143,0.68421,0.17241,0.44444,0.70139,0.405,0.7312,0.21391,0.31804,0.75,0.73684,0.628,0.572,0.57143,0.68421,0.17241,0.44444,0.70139,0.405,0.7312
Low,Riesgo,0,0.25,0.10526,0.0,0.202,0.14286,0.78947,0.13793,0.11111,0.0,0.655,0.232,0.4756,0.10066,0.25,0.10526,0.0,0.202,0.14286,0.78947,0.13793,0.11111,0.0,0.655,0.232
Low,Riesgo,0,0.625,0.52632,0.018,0.69,0.28571,0.52632,0.41379,0.22222,0.17884,0.755,0.0668,0.56167,0.29478,0.625,0.52632,0.018,0.69,0.28571,0.52632,0.41379,0.22222,0.17884,0.755,0.0668
High,Riesgo,1,0.625,0.26316,0.39,0.186,1.0,0.94737,0.31034,0.77778,0.30353,0.565,0.8984,0.23382,0.41573,0.625,0.26316,0.39,0.186,1.0,0.94737,0.31034,0.77778,0.30353,0.565,0.8984
Medium,Riesgo,0,0.0,0.10526,0.691,0.558,1.0,0.47368,0.17241,0.11111,0.73913,0.64,0.6478,0.19802,0.26792,0.0,0.10526,0.691,0.558,1.0,0.47368,0.17241,0.11111,0.73913,0.64,0.6478
Medium,Riesgo,0,0.125,0.52632,0.695,0.492,0.85714,0.36842,0.10345,0.33333,0.54635,0.215,0.5626,0.24387,0.26877,0.125,0.52632,0.695,0.492,0.85714,0.36842,0.10345,0.33333,0.54635,0.215,0.5626
Medium,Riesgo,0,0.125,0.73684,0.43,0.898,1.0,0.52632,0.10345,0.22222,0.55537,0.595,0.53795,0.37701,0.19158,0.125,0.73684,0.43,0.898,1.0,0.52632,0.10345,0.22222,0.55537,0.595,0.53795
Medium,Riesgo,0,0.25,0.63158,0.691,0.45,0.28571,0.36842,0.2069,0.66667,0.71944,0.46,0.6098,0.17234,0.3948,0.25,0.63158,0.691,0.45,0.28571,0.36842,0.2069,0.66667,0.71944,0.46,0.6098
Medium,Riesgo,0,0.29167,1.0,0.521,0.776,0.42857,1.0,0.51724,0.77778,0.48318,0.43,0.6871,0.37256,0.57031,0.29167,1.0,0.521,0.776,0.42857,1.0,0.51724,0.77778,0.48318,0.43,0.6871
High,Riesgo,1,0.66667,0.47368,0.977,0.168,0.42857,0.47368,0.0,0.33333,0.84906,0.41,0.8574,0.06347,0.26496,0.66667,0.47368,0.977,0.168,0.42857,0.47368,0.0,0.33333,0.84906,0.41,0.8574
Medium,Riesgo,0,0.16667,0.26316,0.162,0.156,0.42857,0.84211,0.27586,0.55556,0.11157,0.31,0.5661,0.33903,0.30408,0.16667,0.26316,0.162,0.156,0.42857,0.84211,0.27586,0.55556,0.11157,0.31,0.5661
Medium,Riesgo,0,0.25,0.73684,0.601,0.524,0.42857,0.52632,0.86207,0.22222,0.71944,0.305,0.3736,0.19407,0.69296,0.25,0.73684,0.601,0.524,0.42857,0.52632,0.86207,0.22222,0.71944,0.305,0.3736
Medium,Riesgo,0,0.79167,0.89474,0.491,0.596,0.85714,0.57895,0.62069,0.66667,0.3708,0.7,0.53795,0.36826,0.60626,0.79167,0.89474,0.491,0.596,0.85714,0.57895,0.62069,0.66667,0.3708,0.7,0.53795
Low,Riesgo,0,0.79167,0.89474,0.194,0.632,0.14286,0.47368,0.48276,0.77778,0.24364,0.56,0.1397,0.47382,0.48002,0.79167,0.89474,0.194,0.632,0.14286,0.47368,0.48276,0.77778,0.24364,0.56,0.1397
,Riesgo,0,0.125,0.31579,0.75,0.746,0.42857,1.0,0.48276,0.66667,0.62264,0.03,1.0,0.2963,0.57644,0.125,0.31579,0.75,0.746,0.42857,1.0,0.48276,0.66667,0.62264,0.03,1.0
Medium,Riesgo,0,0.20833,0.73684,0.276,0.294,0.28571,0.84211,0.27586,0.33333,0.50533,0.05,0.6941,0.19093,0.2859,0.20833,0.73684,0.276,0.294,0.28571,0.84211,0.27586,0.33333,0.50533,0.05,0.6941
Low,Riesgo,0,0.25,0.89474,0.382,0.622,0.28571,0.10526,0.68966,1.0,0.43478,0.57,0.2676,0.34196,0.68894,0.25,0.89474,0.382,0.622,0.28571,0.10526,0.68966,1.0,0.43478,0.57,0.2676
Medium,Riesgo,0,0.70833,0.89474,0.375,0.188,0.85714,0.31579,0.93103,0.88889,0.2863,0.845,0.5264,0.24339,0.81434,0.70833,0.89474,0.375,0.188,0.85714,0.31579,0.93103,0.88889,0.2863,0.845,0.5264
Medium,Riesgo,0,0.16667,1.0,0.244,0.492,0.71429,0.10526,0.65517,1.0,0.34865,0.045,0.5464,0.33899,0.63861,0.16667,1.0,0.244,0.492,0.71429,0.10526,0.65517,1.0,0.34865,0.045,0.5464
High,Riesgo,1,0.79167,0.42105,0.431,0.068,0.57143,0.84211,0.93103,0.77778,0.6087,0.505,0.9614,0.08429,0.80503,0.79167,0.42105,0.431,0.068,0.57143,0.84211,0.93103,0.77778,0.6087,0.505,0.9614
Medium,Riesgo,0,0.08333,0.05263,0.473,0.748,0.28571,0.47368,0.72414,0.55556,0.516,0.85,0.4443,0.34553,0.64475,0.08333,0.05263,0.473,0.748,0.28571,0.47368,0.72414,0.55556,0.516,0.85,0.4443
High,Riesgo,1,0.25,0.36842,0.744,0.506,0.28571,0.94737,0.0,0.11111,0.68991,0.005,0.7624,0.19782,0.1734,0.25,0.36842,0.744,0.506,0.28571,0.94737,0.0,0.11111,0.68991,0.005,0.7624
High,Riesgo,1,0.5,1.0,0.765,0.238,0.57143,0.68421,0.86207,1.0,0.65299,0.275,0.9386,0.12676,0.87566,0.5,1.0,0.765,0.238,0.57143,0.68421,0.86207,1.0,0.65299,0.275,0.9386
Low,Riesgo,0,0.54167,0.05263,0.159,0.556,0.14286,0.21053,0.0,0.66667,0.09024,0.51,0.2441,0.58704,0.15542,0.54167,0.05263,0.159,0.556,0.14286,0.21053,0.0,0.66667,0.09024,0.51,0.2441
High,Riesgo,1,0.25,0.52632,0.593,0.354,1.0,0.94737,0.51724,0.88889,0.49057,0.08,1.0,0.21777,0.60668,0.25,0.52632,0.593,0.354,1.0,0.94737,0.51724,0.88889,0.49057,0.08,1.0
High,Riesgo,1,0.16667,0.31579,0.896,0.838,0.71429,0.63158,0.13793,0.88889,0.84578,0.605,0.8433,0.24312,0.43815,0.16667,0.31579,0.896,0.838,0.71429,0.63158,0.13793,0.88889,0.84578,0.605,0.8433
Medium,Riesgo,0,0.875,0.26316,0.109,0.528,0.28571,0.89474,0.68966,0.88889,0.26661,0.505,0.5504,0.4081,0.61007,0.875,0.26316,0.109,0.528,0.28571,0.89474,0.68966,0.88889,0.26661,0.505,0.5504
Medium,Riesgo,0,0.16667,0.47368,0.473,0.03,0.0,0.47368,0.89655,0.88889,0.60541,0.15,0.6508,0.07283,0.81391,0.16667,0.47368,0.473,0.03,0.0,0.47368,0.89655,0.88889,0.60541,0.15,0.6508
High,Riesgo,1,0.91667,0.21053,0.75,0.986,0.28571,0.57895,0.27586,0.55556,0.80476,0.04,0.7525,0.29699,0.42842,0.91667,0.21053,0.75,0.986,0.28571,0.57895,0.27586,0.55556,0.80476,0.04,0.7525
Medium,Riesgo,0,0.04167,0.52632,0.611,0.074,1.0,0.36842,0.0,0.0,0.4717,0.505,0.391,0.12341,0.12413,0.04167,0.52632,0.611,0.074,1.0,0.36842,0.0,0.0,0.4717,0.505,0.391
Medium,Riesgo,0,0.83333,0.0,0.101,0.696,0.57143,0.57895,0.62069,0.55556,0.26579,0.51,0.3587,0.48503,0.50264,0.83333,0.0,0.101,0.696,0.57143,0.57895,0.62069,0.55556,0.26579,0.51,0.3587
Low,Riesgo,0,0.875,0.05263,0.397,0.438,0.57143,0.0,0.51724,0.44444,0.44627,0.175,0.3351,0.26722,0.48065,0.875,0.05263,0.397,0.438,0.57143,0.0,0.51724,0.44444,0.44627,0.175,0.3351
Medium,Riesgo,0,0.20833,0.0,0.507,0.25,0.71429,0.89474,0.06897,0.66667,0.49959,0.69,0.5977,0.17742,0.2713,0.20833,0.0,0.507,0.25,0.71429,0.89474,0.06897,0.66667,0.49959,0.69,0.5977
Medium,Riesgo,0,0.58333,0.94737,0.996,0.676,0.71429,0.05263,0.10345,0.77778,0.93437,0.545,0.6405,0.17648,0.417,0.58333,0.94737,0.996,0.676,0.71429,0.05263,0.10345,0.77778,0.93437,0.545,0.6405
Low,Riesgo,0,0.83333,0.05263,0.179,0.126,0.42857,0.57895,0.37931,0.0,0.07875,0.36,0.2464,0.34873,0.26538,0.83333,0.05263,0.179,0.126,0.42857,0.57895,0.37931,0.0,0.07875,0.36,0.2464
High,Riesgo,1,0.375,1.0,0.982,0.858,0.14286,0.94737,0.96552,1.0,0.75718,0.665,0.8396,0.27821,0.98499,0.375,1.0,0.982,0.858,0.14286,0.94737,0.96552,1.0,0.75718,0.665,0.8396
Medium,Riesgo,0,0.91667,0.15789,0.376,0.25,1.0,0.31579,0.2069,0.33333,0.41017,0.19,0.4307,0.21161,0.26475,0.91667,0.15789,0.376,0.25,1.0,0.31579,0.2069,0.33333,0.41017,0.19,0.4307
Medium,Riesgo,0,0.95833,0.57895,0.2,0.362,0.57143,0.31579,0.48276,0.33333,0.15012,0.455,0.4366,0.41894,0.3967,0.95833,0.57895,0.2,0.362,0.57143,0.31579,0.48276,0.33333,0.15012,0.455,0.4366
,Riesgo,0,0.25,1.0,0.414,0.632,0.0,0.0,0.75862,0.0,0.44791,0.55,0.0597,0.33872,0.54768,0.25,1.0,0.414,0.632,0.0,0.0,0.75862,0.0,0.44791,0.55,0.0597
High,Riesgo,1,0.16667,0.89474,0.614,0.002,0.0,0.89474,0.48276,0.33333,0.54963,0.46,0.8051,0.07677,0.48425,0.16667,0.89474,0.614,0.002,0.0,0.89474,0.48276,0.33333,0.54963,0.46,0.8051
Low,Riesgo,0,0.0,0.0,0.213,0.472,0.42857,0.36842,0.86207,0.55556,0.40197,0.4,0.2719,0.30169,0.67435,0.0,0.0,0.213,0.472,0.42857,0.36842,0.86207,0.55556,0.40197,0.4,0.2719
Low,Riesgo,0,0.5,0.52632,0.291,0.894,0.14286,0.47368,0.13793,0.55556,0.4799,0.74,0.2208,0.41694,0.24678,0.5,0.52632,0.291,0.894,0.14286,0.47368,0.13793,0.55556,0.4799,0.74,0.2208
,Riesgo,0,0.83333,0.68421,0.855,0.68,0.14286,0.0,1.0,0.33333,0.95242,0.655,0.3335,0.17306,0.8524,0.83333,0.68421,0.855,0.68,0.14286,0.0,1.0,0.33333,0.95242,0.655,0.3335
High,Riesgo,1,0.70833,0.15789,0.999,0.388,0.71429,0.73684,0.82759,0.11111,1.0,0.64,0.8239,0.09153,0.73483,0.70833,0.15789,0.999,0.388,0.71429,0.73684,0.82759,0.11111,1.0,0.64,0.8239
Medium,Riesgo,0,0.5,0.21053,0.318,0.66,0.28571,0.73684,0.75862,0.66667,0.51354,0.89,0.5312,0.31599,0.65426,0.5,0.21053,0.318,0.66,0.28571,0.73684,0.75862,0.66667,0.51354,0.89,0.5312
Low,Riesgo,0,0.83333,0.52632,0.149,0.936,0.0,0.15789,0.03448,0.77778,0.28302,0.995,0.1249,0.578,0.1956,0.83333,0.52632,0.149,0.936,0.0,0.15789,0.03448,0.77778,0.28302,0.995,0.1249
Medium,Riesgo,0,0.83333,0.63158,0.793,0.188,0.0,0.47368,0.37931,0.88889,0.895,0.565,0.6816,0.0605,0.56439,0.83333,0.63158,0.793,0.188,0.0,0.47368,0.37931,0.88889,0.895,0.565,0.6816
High,Riesgo,1,0.70833,0.78947,0.6,0.532,0.85714,0.36842,0.62069,0.88889,0.63249,0.35,0.7726,0.22487,0.6716,0.70833,0.78947,0.6,0.532,0.85714,0.36842,0.62069,0.88889,0.63249,0.35,0.7726
Low,Riesgo,0,0.16667,0.63158,0.1,0.234,0.0,0.68421,0.89655,0.33333,0.27728,0.78,0.2543,0.26871,0.62931,0.16667,0.63158,0.1,0.234,0.0,0.68421,0.89655,0.33333,0.27728,0.78,0.2543
Medium,Riesgo,0,0.5,0.05263,0.947,0.854,0.0,0.63158,0.75862,0.22222,0.74979,0.14,0.6553,0.27972,0.70269,0.5,0.05263,0.947,0.854,0.0,0.63158,0.75862,0.22222,0.74979,0.14,0.6553
Low,Riesgo,0,0.125,0.78947,0.078,0.722,0.85714,0.84211,0.13793,0.44444,0.21739,0.515,0.3057,0.53974,0.18059,0.125,0.78947,0.078,0.722,0.85714,0.84211,0.13793,0.44444,0.21739,0.515,0.3057
Medium,Riesgo,0,0.66667,0.26316,0.625,0.802,0.57143,0.31579,0.75862,0.55556,0.74733,0.525,0.464,0.26567,0.69803,0.66667,0.26316,0.625,0.802,0.57143,0.31579,0.75862,0.55556,0.74733,0.525,0.464
Low,Riesgo,0,0.08333,0.68421,0.424,0.944,0.14286,0.26316,0.82759,0.77778,0.45447,0.985,0.3464,0.45073,0.74011,0.08333,0.68421,0.424,0.944,0.14286,0.26316,0.82759,0.77778,0.45447,0.985,0.3464
Medium,Riesgo,0,0.66667,0.0,0.557,0.232,0.28571,0.42105,0.82759,0.22222,0.44791,0.99,0.4434,0.18974,0.66251,0.66667,0.0,0.557,0.232,0.28571,0.42105,0.82759,0.22222,0.44791,0.99,0.4434
Medium,Riesgo,0,0.41667,0.84211,0.213,0.048,0.57143,1.0,0.06897,0.55556,0.27728,0.8,0.5851,0.18537,0.18799,0.41667,0.84211,0.213,0.048,0.57143,1.0,0.06897,0.55556,0.27728,0.8,0.5851
High,Riesgo,1,0.83333,0.52632,0.688,0.29,0.14286,1.0,0.7931,0.44444,0.726,0.475,0.8527,0.12374,0.71136,0.83333,0.52632,0.688,0.29,0.14286,1.0,0.7931,0.44444,0.726,0.475,0.8527
Medium,Riesgo,0,0.79167,0.94737,0.96,0.4,0.42857,0.36842,0.96552,0.66667,0.96965,0.545,0.6877,0.10015,0.9169,0.79167,0.94737,0.96,0.4,0.42857,0.36842,0.96552,0.66667,0.96965,0.545,0.6877
Medium,Riesgo,0,0.91667,0.10526,0.458,0.626,0.0,0.68421,0.17241,0.88889,0.47662,0.32,0.4371,0.32181,0.36667,0.91667,0.10526,0.458,0.626,0.0,0.68421,0.17241,0.88889,0.47662,0.32,0.4371
High,Riesgo,1,0.83333,0.52632,0.523,0.798,0.28571,1.0,0.41379,0.66667,0.42986,0.83,0.7622,0.41137,0.48615,0.83333,0.52632,0.523,0.798,0.28571,1.0,0.41379,0.66667,0.42986,0.83,0.7622
Low,Riesgo,0,0.125,0.21053,0.24,0.35,0.14286,0.10526,0.65517,0.55556,0.43068,0.745,0.1251,0.24112,0.55318,0.125,0.21053,0.24,0.35,0.14286,0.10526,0.65517,0.55556,0.43068,0.745,0.1251
High,Riesgo,1,0.04167,0.84211,0.892,0.474,1.0,0.63158,0.48276,0.88889,0.91468,0.77,1.0,0.12996,0.64876,0.04167,0.84211,0.892,0.474,1.0,0.63158,0.48276,0.88889,0.91468,0.77,1.0
,Riesgo,0,0.79167,0.31579,0.971,0.786,0.42857,0.42105,0.10345,1.0,0.8146,0.14,0.8206,0.23882,0.45401,0.79167,0.31579,0.971,0.786,0.42857,0.42105,0.10345,1.0,0.8146,0.14,0.8206
Medium,Riesgo,0,0.625,0.47368,0.786,0.226,0.0,0.42105,0.65517,0.33333,0.84085,0.4,0.6624,0.08053,0.62635,0.625,0.47368,0.786,0.226,0.0,0.42105,0.65517,0.33333,0.84085,0.4,0.6624
Medium,Riesgo,0,0.70833,0.52632,0.543,0.218,0.42857,0.52632,0.2069,0.0,0.48893,0.535,0.3959,0.16974,0.23663,0.70833,0.52632,0.543,0.218,0.42857,0.52632,0.2069,0.0,0.48893,0.535,0.3959
High,Riesgo,1,0.5,0.10526,0.957,0.59,0.57143,0.26316,0.72414,0.77778,0.81706,0.125,0.9035,0.18457,0.78938,0.5,0.10526,0.957,0.59,0.57143,0.26316,0.72414,0.77778,0.81706,0.125,0.9035
Medium,Riesgo,0,0.08333,1.0,0.154,0.436,0.42857,0.57895,0.58621,0.55556,0.3388,0.37,0.3683,0.32143,0.4927,0.08333,1.0,0.154,0.436,0.42857,0.57895,0.58621,0.55556,0.3388,0.37,0.3683
Low,Riesgo,0,0.33333,0.47368,0.478,0.948,0.57143,0.15789,0.68966,0.55556,0.60788,0.085,0.3435,0.36745,0.62466,0.33333,0.47368,0.478,0.948,0.57143,0.15789,0.68966,0.55556,0.60788,0.085,0.3435
Low,Riesgo,0,0.79167,0.47368,0.538,0.358,0.42857,0.15789,0.68966,0.44444,0.50123,0.96,0.1658,0.21506,0.6162,0.79167,0.47368,0.538,0.358,0.42857,0.15789,0.68966,0.44444,0.50123,0.96,0.1658
Medium,Riesgo,0,0.20833,0.68421,0.492,0.76,0.57143,0.84211,0.72414,1.0,0.33634,0.75,0.567,0.45849,0.73335,0.20833,0.68421,0.492,0.76,0.57143,0.84211,0.72414,1.0,0.33634,0.75,0.567
Medium,Riesgo,0,0.375,0.57895,0.802,0.584,1.0,0.31579,0.2069,0.22222,0.64889,0.62,0.658,0.23534,0.33369,0.375,0.57895,0.802,0.584,1.0,0.31579,0.2069,0.22222,0.64889,0.62,0.658
Medium,Riesgo,0,0.83333,0.73684,0.67,0.054,0.71429,0.26316,0.37931,0.55556,0.77769,0.205,0.627,0.0452,0.47494,0.83333,0.73684,0.67,0.054,0.71429,0.26316,0.37931,0.55556,0.77769,0.205,0.627
Low,Riesgo,0,0.375,0.47368,0.127,0.084,0.57143,1.0,0.34483,0.0,0.32814,0.335,0.317,0.17888,0.23324,0.375,0.47368,0.127,0.084,0.57143,1.0,0.34483,0.0,0.32814,0.335,0.317
Medium,Riesgo,0,0.5,0.47368,0.346,0.204,0.85714,0.36842,0.7931,0.66667,0.36177,0.145,0.5353,0.21415,0.68133,0.5,0.47368,0.346,0.204,0.85714,0.36842,0.7931,0.66667,0.36177,0.145,0.5353
Medium,Riesgo,0,0.66667,0.94737,0.339,0.144,0.85714,0.31579,0.37931,0.55556,0.30763,0.535,0.571,0.21363,0.40495,0.66667,0.94737,0.339,0.144,0.85714,0.31579,0.37931,0.55556,0.30763,0.535,0.571
Medium,Riesgo,0,0.33333,0.0,0.566,0.33,0.42857,0.36842,0.86207,0.44444,0.49303,0.82,0.3754,0.20826,0.72785,0.33333,0.0,0.566,0.33,0.42857,0.36842,0.86207,0.44444,0.49303,0.82,0.3754
